哒	⿰口达	タツ タチ	v:噠
哓	⿰口尧	キョウ おそ.れる	v:嘵
哔	⿰口毕	ヒツ ヒチ	v:嗶
哕	⿰口岁	エツ オチ エチ キ	v:噦
哖	⿰口年	ネン	p:年
哗	⿰口华	カ ケ かまびす.しい	v:嘩
哙	⿰口会	カイ のど	u
哚	⿰口朵	ダ タ	p:朵
哛	⿱𫜸分	ブン フン	p:分
哜	⿰口齐	セイ カイ サイ な.める	v:嚌
哝	⿰口农	ドウ ヌ ニョウ	v:噥
哞	⿰口牟	ボウ ム	p:牟
哟	⿰口约	ヤク	v:喲
哣	⿰口豆	トウ	u
哤	⿰口尨	ボウ モウ	u
哧	⿰口赤	カ ケ セキ	u
哫	⿰口足	ショク ソク	u
哰	⿰口牢	ロウ	u
哴	⿰口良	リョウ ロウ	u
哵	⿰口别	ハツ ハチ	u
哷	⿰口寽	レツ レチ リツ リチ	u
哸	⿰口妥	サイ セ	u
哹	⿰口孚	フウ フ ホウ	u
哻	⿰口旱	カン ガン	u
唂	⿰口谷	コク	u
唃	⿰口角	コク	u
唊	⿰口夾	キョウ コウ ケン	u
唋	⿰口余	ト ツ	u
唑	⿰口坐	ゼイ	u
唒	⿰口酉	シュウ ジュウ	u
唓	⿰口車	シャ	u
唗	⿰口走	トウ	u
唘	⿱⿰石又口	ケイ	u
唙	⿰口狄	テキ	u
唚	⿰口𠬶	シン	u
唛	⿰口麦	バ	v:嘜
唜	⿱末𫜸	シツ シチ	p:𫜸
唝	⿰口贡	コウ ク	v:嗊
唞	⿰口抖	ト トウ	p:抖
唟	⿱去𫜸	シツ シチ	p:𫜸
唠	⿰口劳	トウ タ コウ ロウ	v:嘮
唡	⿰口两	リョウ	v:啢
唢	⿰口𭕆	サ	v:嗩
唣	⿰口皂	ソウ	p:皂
唤	⿰口奂	カン わめ.く	v:喚
唥	⿰口冷	レイ	p:冷
唦	⿰口沙	サ シャ	p:沙
唧	⿰口即	ショク ソク	u
唨	⿰口阻	ソ	p:阻
唩	⿰口委	ワ イ	u
唬	⿰口虎	ケ ゴウ キョウ キャク	u
唭	⿰口其	キ	u
唰	⿰口刷	セツ セチ サツ	u
唴	⿰口羌	キョウ コウ	u
唷	⿰口育	イク	u
唺	⿰口典	テン ケン	u
唿	⿰口忽	コツ コチ	u
啂	⿰口乳	ドウ ヌ	u
啃	⿰口肯	シュウ	u
啈	⿰口幸	コウ キョウ ガツ ガチ	u
啋	⿰口采	キョウ ケキ キャク サイ	u
啎	⿰午吾	ゴ さからう	u
啒	⿰口屈	コツ コチ	u
啔	⿱𫼉口	ケイ ひらく	u
啕	⿰口匋	トウ ドウ	u
啙	⿱此吅	シ ジ セイ ザイ	u
啟	⿰启攵	ケイ	u
啢	⿰口兩	リョウ	u
啥	⿰口舍	シャ	u
啧	⿰口责	サク さいな.む さけ.ぶ	v:嘖
啨	⿰口青	セイ ジョウ	u
啩	⿰口卦	カ カイ	p:卦
啪	⿰口拍	ハク ヒョウ	p:拍
啫	⿰口者	シャ	p:者
啬	⿱⿻土丷回	ショク やぶさ.か おし.む	v:嗇
啭	⿰口转	テン さえず.る	v:囀
啮	⿰口齿	コウ ゴウ か.む か.じる	v:嚙
啯	⿰口国	カク キャク	v:嘓
啰	⿰口罗	ラ こえ	v:囉
啱	⿰口岩	ガン	p:岩
啲	⿰口的	テキ	p:的
啳	⿰口卷	カン ケン	p:卷
啴	⿰口单	タン セン タ あえ.ぐ	v:嘽
啵	⿰口波	ハ バ	u
啶	⿰口定	テイ ジョウ	p:定
啷	⿰口郎	ロウ リョウ	p:郎
啸	⿰口肃	ショウ シツ うそぶ.く	v:嘯
啹	⿰口居	キョ コ	p:居
啺	⿰口昜	トウ	u
喅	⿰口昱	イク ユウ オウ	u
喌	⿱吅州	シュク シュウ シュ	u
喍	⿰口柴	サイ ゼ	u
喐	⿰口郁	イク	u
喕	⿰口面	ベン メン	u
喖	⿰口枯	コ ゴ	u
喛	⿰口爰	カン カ ケン ワ	u
喠	⿰口重	ショウ シュ	u
喡	⿰口韋	イ	u
喢	⿰口臿	チョウ ショウ ソウ	u
喥	⿰口度	ト ツ タク ダク	u
喦	⿵品山	ジョウ ニョウ	u
喯	⿰口奔	フン	u
喱	⿰口厘	リ	u
喳	⿰口查	サ	u
喴	⿰口威	イ	u
喵	⿰口苗	ミャオ	u
喷	⿰口贲	フン ふ.く	v:噴
喸	⿱甫𫜸	シツ シチ	p:𫜸
喹	⿰口奎	ケイ キ	p:奎
喺	⿰口係	ケイ	p:係
喻	⿰口俞	ユ さとす たとえる	u
喼	⿰口急	きゅう	u
喽	⿰口娄	ロウ ル うるさ.い みだ.れる	v:嘍
喾	⿱𰃮告	コク つ.げる	v:嚳
嗀	⿰𫯁殳	カク コク	u
嗂	⿰口䍃	ヨウ	u
嗈	⿰口邕	ヨウ ユ	u
嗊	⿰口貢	コウ ク	u
嗍	⿰口朔	サク	u
嗏	⿰口茶	サ セ	u
嗐	⿰口害	カツ ゲチ カイ ガイ	u
嗕	⿰口⿸辰寸	ジョク ニク ドウ ヌ	u
嗖	⿰口叟	シュク シュウ シュ	u
嗙	⿰口旁	ホウ	u
嗠	⿰孚各	ラク ロ	u
嗡	⿰口翁	オウ オ	u
嗥	⿰口皋	コウ	u
嗦	⿰口索	サ	u
嗧	⿱加侖	ガロン	u
嗨	⿰口海	カイ	u
嗪	⿰口秦	シン	p:秦
嗫	⿰口聂	ショウ ささや.く	v:囁
嗬	⿰口荷	カ	p:荷
嗭	⿱直𫜸	シツ シチ	p:𫜸
嗮	⿰口晒	サイ シ	p:晒
嗯	⿰口恩	オン	p:恩
嗰	⿰口個	コ カ	p:個
嗱	⿰口拿	ダ ナ	p:拿
嗲	⿰口爹	タ	p:爹
嗳	⿰口爱	アイ ガイ いき	v:噯
嗴	⿰口羗	キョウ	p:羗
嗵	⿰口通	ツウ ツ	p:通
嗸	⿱敖口	ゴウ	u
