嗺	⿰口崔	スイ サイ セ	u
嗻	⿰口庶	シャ ショ	u
嗼	⿰口莫	マク バク ミャク	u
嘀	⿰口啇	サク シャク	u
嘁	⿰口戚	ソウ シュク	u
嘂	⿲吕丩吕	キョウ	u
嘃	⿰口庸	シュウ シュ	u
嘄	⿰口梟	キョウ さけぶ	u
嘋	⿰口教	コウ キョウ	u
嘌	⿰口票	ヒョウ	u
嘓	⿰口國	カク キャク	u
嘕	⿰口焉	ケン エン	u
嘚	⿰口得	トク	u
嘜	⿰口麥	バ	u
嘝	⿰口斛	ブッシェル	u
嘞	⿰口勒	ロク	p:勒
嘟	⿰口都	ト ズ	u
嘠	⿰口戞	カツ	p:戞
嘡	⿰口堂	ドウ	p:堂
嘢	⿰口野	ヤ ショ	p:野
嘣	⿰口崩	ホウ	p:崩
嘤	⿰口婴	オウ な.く	v:嚶
嘥	⿰口徙	シ	p:徙
嘦	⿱只要	ヨウ	p:要
嘧	⿰口密	ミツ	p:密
嘪	⿰口買	バイ メ	u
嘫	⿰口然	ダン ナン ゼン ネン	u
嘭	⿰口彭	ホウ ビョウ	u
嘮	⿰口勞	トウ タ コウ ロウ	u
嘺	⿰口喬	キョウ ギョウ	u
嘾	⿰口覃	タン ドン	u
噅	⿰口爲	キ	u
噈	⿰口就	シュク ソウ コウ ゴウ	u
噊	⿰口矞	イツ イチ シュツ ジュチ	u
噑	⿰口皐	コウ ゴウ ほえる	u
噒	⿰口粦	タン	u
噕	⿱爲口	キ	u
噖	⿰口琴	ギン	u
噗	⿰口菐	ボク	u
噘	⿰口厥	ケツ	u
噙	⿰口禽	キン	u
噚	⿰口尋	ファゾム	u
噜	⿰口鲁	ロ かた.る へつら.う	v:嚕
噝	⿰口絲	シ	p:絲
噟	⿸䧹口	ヨウ	u
噥	⿰口農	ドウ ヌ ニョウ	u
噧	⿰口萬	カイ タツ タチ キ	u
噮	⿰口睘	エン	u
噰	⿰口雍	ヨウ ユ	u
噳	⿰口虞	グ	u
噷	⿰口歆	キン	u
噹	⿰口當	トウ	u
噻	⿰口塞	ソク サイ	p:塞
噼	⿰口辟	ヘキ ヒ	p:辟
噽	⿰喜丕	ヒ	u
噾	⿰口窨	イン	u
噿	⿰口翠	スイ	u
嚁	⿰口翟	テキ ジャク	u
嚂	⿰口監	ラン カン	u
嚃	⿰口遝	トウ テ テイ のむ	u
嚉	⿰口對	トツ	u
嚍	⿰口盡	シン	u
嚎	⿰口豪	コウ ゴウ	u
嚐	⿰口嘗	ショウ	u
嚑	⿰口熏	クン	p:熏
嚒	⿰口麼	ビ ミ	p:麼
嚓	⿰口察	サツ	p:察
嚖	⿰口慧	ケイ	u
嚗	⿰口暴	ハク バク ホウ ボク	u
嚘	⿰口憂	ユウ ウ	u
嚛	⿰口樂	コク カク	u
嚜	⿰口墨	ボク モク ビ メ	u
嚡	⿰口鞋	アイ カイ	p:鞋
嚣	⿳吅页吅	ゴウ キョウ かしま.しい かまびす.しい	v:囂
嚤	⿰口摩	マ	p:摩
嚪	⿰口閻	タン ダン くらう	u
嚯	⿰口霍	ギャク	u
嚰	⿰口磨	マ	p:磨
嚵	⿰口毚	サン ザン セン ゼン	u
嚸	⿰口點	テン	p:點
嚹	⿰口罅	カ ケ	p:罅
嚺	⿰口⿺辶⿱罒㒸	スイ ズイ	p:㒸
嚻	⿲吕頁吕	ゴウ キョウ かまびすしい	u
嚽	⿰口贅	セツ	u
嚿	⿰口舊	カク ワク	u
囄	⿰口離	リ	p:離
囆	⿰口蠆	タイ テ	u
囇	⿰口麗	レイ	u
囒	⿰口蘭	ラン	u
囔	⿰口囊	ドウ	u
囕	⿰口覽	ラン	p:覽
囖	⿰口籮	ラ	p:籮
团	⿴囗才	シュウ	u
囩	⿴囗云	ウン エン オン イン	u
囪	⿱㇒⿴囗⿻𰀪丶	ソウ いそがしい	u
囬	⿴囗⿴⿰丨丨𠄠	カイ メン まわる	u
囯	⿴囗王	コク くに	u
围	⿴囗韦	イ かこ.む かこ.う かこ.い	v:圍
囵	⿴囗仑	リン	v:圇
囸	⿴囗正	ジツ	u
囻	⿴囗民	コク	u
囼	⿴囗台	タイ	u
图	⿴囗冬	ズ ト え はか.る	v:圖
圅	⿱龴⿴囗𢆉	ゴン カン はこ	u
圆	⿴囗员	エン まる.い まる まど	v:圓
圎	⿴囗貟	エン まるい	u
圐	⿴囗𬙙		
圔	⿴囗盍	オウ ヨウ	u
圗	⿴囗⿱𠫘囬	ズ ト はかる	u
圙	⿴𡆦面	メン ベン	p:面
圞	⿴囗欒	ラン	u
圫	⿰土乇	オウ	u
圱	⿰⿻⿱㇒一丿土	セン ショク ソク	u
圲	⿰土千	セン	u
圵	⿰土上	トウ	u
圶	⿱大土	コウ キョウ	u
圹	⿰土广	コウ あな	v:壙
场	⿰土𠃓	ジョウ チョウ ば	v:場
圼	⿱日土	デツ	u
坁	⿰土氏	シ チ ジ	u
坃	⿰土元	ケン	u
坄	⿰土殳	エキ ヤク トウ ズ	u
坈	⿰土冗	ジョウ ニュ コウ キョウ	u
坉	⿰土屯	トン ドン	u
坋	⿰土分	フン ホン ボン ちり	u
坓	⿱井土	ケイ	u
坔	⿱水土	チ	u
坕	⿱爪土	ケイ	u
坖	⿱元土	キ	u
块	⿰土夬	カイ	u
坘	⿰土互	チ	u
坙	⿳一巛土	キョウ ケイ くき	u
坚	⿱𰀡土	ケン	u
坛	⿰土云	ダン タン	v:壇
坜	⿰土历	レキ リャク あな	v:壢
坝	⿰土贝	ハイ ハ ヘ	v:垻
坞	⿰土乌	オ ウ	v:塢
坟	⿰土文	フン	v:墳
坠	⿱队土	ツイ お.ちる お.つ	v:墜
坣	⿱龸土	ドウ	u
坬	⿰土瓜	カ ケ	u
坲	⿰土弗	フツ ブチ ヘツ ベチ	u
坶	⿰土母	ボク モク	u
坸	⿰土句	コウ	u
坽	⿰土令	レイ リョウ	u
垀	⿰土乎	コ ク	u
垄	⿱龙土	ロウ リョウ おか うね	v:壟
垅	⿰土龙	ロウ	v:壠
垆	⿰土卢	ロ リョ いろり	v:壚
垇	⿰土凹	オウ	p:凹
垊	⿰土民	ミン	p:民
垍	⿰土自	キ ギ	u
垎	⿰土各	カク ギャク	u
垏	⿰土聿	ロツ ロチ	u
垐	⿱次土	シ ジ ショク ジキ	u
垑	⿰土多	シ	u
垒	⿱厽土	ルイ	u
垖	⿰土𠂤	タイ	u
垘	⿰土伏	フク ブク ホク ボク	u
垛	⿰土朵	タ ダ あずち	u
垥	⿰土合	キョウ コウ	u
垦	⿱艮土	ギン	u
垫	⿱执土	テン チョウ おち.いる おぼ.れる	v:墊
垭	⿰土亚	オ ウ さと	v:埡
垮	⿰土夸	コ カ	p:夸
垯	⿰土达	タツ タチ	p:达
垱	⿰土当	トウ	p:当
垲	⿰土岂	カイ	v:塏
垴	⿰土㐫	キョウ ク	p:㐫
垵	⿰土安	エン アン オン	v:埯
垶	⿰土辛	セイ ショウ	u
垷	⿰土見	ケン ゲン	u
垹	⿰土邦	ホウ	u
垺	⿰土孚	ブ ヘ フ ハイ	u
垻	⿰土貝	ハイ ハ ヘ	u
垼	⿱役土	エキ ヤク	u
垾	⿰土旱	カン ガン	u
垿	⿰土序	ショ ジョ	u
埁	⿰土岑	シン ジン	u
埂	⿰土更	コウ キョウ	u
埄	⿰土夆	ホウ ボ	u
埅	⿱防土	ホウ ボウ チ ふせぐ	u
埉	⿰土夾	コウ	u
埊	⿱汖土	チ	u
埍	⿰土肙	ケン	u
埐	⿰土𠬶	シン	u
埑	⿱折土	テツ	u
埘	⿰土时	シ ジ ねぐら とや	v:塒
埙	⿰土员	ケン クン つちぶえ はち	v:塤
埚	⿰土呙	カ るつぼ	v:堝
埛	⿰土冏	ケイ キョウ	p:冏
埢	⿰土卷	ケン	u
埥	⿰土青	セイ ショウ ソウ	u
埨	⿰土侖	リン ロン	u
埪	⿰土空	コウ ク	u
埫	⿰土尚	チョウ チュ	u
埬	⿰土東	トウ ツ	u
埮	⿰土炎	タン ダン	u
埯	⿰土奄	エン アン オン	u
埱	⿰土叔	シュク トウ ツ	u
埲	⿰土奉	ホウ ボウ ボ	u
埳	⿰土臽	カン あな	u
堁	⿰土果	カ カイ ケ ワ	u
堇	⿱廿⿻口龶	キン ゴン コン ぬる	u
堎	⿰土夌	リョウ	p:夌
堏	⿱枋土	ホウ ヘイ	p:枋
堐	⿰土厓	ガイ ゲ	p:厓
堑	⿱斩土	ザン セン ほり あな	v:塹
堒	⿰土昆	コン	p:昆
堓	⿰土岸	ガン	p:岸
堔	⿰土罙	ベイ メイ	p:罙
堖	⿰土𡿺	ドウ ノウ	p:𡿺
堗	⿰土突	トツ ドチ つく	u
堘	⿰土⿱龹土	ショウ あぜ	u
堚	⿰土軍	コン	u
堜	⿰土柬	レン	u
堢	⿰土保	ホウ とりで	u
堣	⿰土禺	グ	u
堥	⿱敄土	ボウ モウ ブ ム	u
堨	⿰土曷	ゲツ ゲチ アツ アチ	u
堩	⿰土恆	コウ	u
堫	⿰土㚇	ソウ ス	u
堬	⿰土俞	ユ	u
堮	⿰土咢	ガク	u
堳	⿰土眉	ビ ミ	u
堶	⿰土⿱左⺝	タ ダ	u
堷	⿰土音	アン オン	u
堸	⿰土風	フ ブ	u
堻	⿱津土	シン	u
堼	⿱封土	コウ ゴウ ホウ フ	u
堾	⿰土春	シュン	u
塂	⿰土巷	コウ	p:巷
塃	⿰土荒	コウ	p:荒
塄	⿰土𬙙		
塅	⿰土段	ダン タン	p:段
塆	⿰土弯	ワン	p:弯
塇	⿰土宣	セン	p:宣
塈	⿱既土	キ	p:既
塎	⿰土容	ヨウ ユ	u
塓	⿰土冥	ベキ ミャク	u
塖	⿰土乘	ショウ	u
塛	⿰土栗	リツ リチ	u
塜	⿰土冡	チョウ ホウ ブ つか	u
塝	⿰土旁	ホウ ボウ	u
塠	⿰土追	タイ テ サイ セ	u
塣	⿱浧土	テイ ジョウ	u
塥	⿰土鬲	カク キャク	u
塦	⿱陣土	ジン	u
塪	⿰土舀	ヨウ	p:舀
塬	⿰土原	ゲン	p:原
塭	⿰土昷	オン	p:昷
塮	⿰土射	シャ	p:射
塯	⿰土留	リュウ ル	p:留
塱	⿱朗土	ロウ	p:朗
塳	⿰土逢	ホウ ボ	u
塴	⿰土崩	ホウ	u
塶	⿰土鹿	ロク	u
塷	⿰土鹵	ロ	u
塺	⿸麻土	バイ メ バ マ	u
塻	⿰土莫	バク マク	u
塽	⿰土爽	ソウ ショウ	u
墂	⿰土票	ヒョウ	u
墄	⿰土戚	ソク	u
墆	⿰土帶	テイ テツ タイ ダイ	u
墎	⿰土郭	カク	u
墑	⿰土啇	テキ チャク	u
墒	⿰土商	ショウ	u
墕	⿰土焉	エン	u
墘	⿰土乾	カン ケン	p:乾
墙	⿰土啬	ショウ かき	v:墻
墚	⿰土梁	リョウ	p:梁
墛	⿰土尉	イ ジョウ	p:尉
墣	⿰土菐	ハク ホク	u
墤	⿰土貴	タイ かたまり	u
墥	⿰土童	トウ ツ タン	u
墧	⿰土喬	カク	u
墬	⿱䧘土	チ	u
墭	⿰土盛	セイ	u
墯	⿱惰土	ダ くずれる	u
墰	⿰土覃	タン	u
墴	⿰土黄	コウ	u
墵	⿰土雲	タン	u
墶	⿰土達	タツ ダ	p:達
墷	⿰土華	ヨウ	u
墽	⿰土敫	コウ キョウ	u
墿	⿰土睪	エキ ト	u
壀	⿰土辟	ヒ ヘイ	u
壆	⿱𦥯土	カク ガク	u
壉	⿰土豦	キョ	u
壋	⿰土當	トウ	p:當
壏	⿰土監	カン ラン	u
壛	⿰土閻	エン	u
壣	⿰土聯	リン	u
壦	⿰土雚	ケン	u
壧	⿰土嚴	ガン	u
壨	⿱𤳳土	ライ	u
壪	⿰土彎	ワン	p:彎
壭	⿱士𰆊		
壵	⿱士⿰士士	ソウ	u
壶	⿱⿱士冖业	コ つぼ	v:壺
壸	⿱⿱士冖亚	コン	v:壼
壾	⿰壴巨	ボウ モウ	u
壿	⿰士尊	シュン ソン ゾン	u
夀	⿱⿻⿱𠄟乛𠀐吋	ジュ ことぶき	u
夁	⿱士䍛	イツ	u
夃	⿵乃又	コ ク エイ	u
处	⿺夂卜	ショ ところ -こ お.る	v:處
备	⿱夂田	リュウ ヒ ビ	u
夈	⿱夂米	サイ	u
夎	⿱坐夊	サ セ	u
夑	⿱⿲火言火夊	カ	p:火
夗	⿰夕㔾	エン オン	u
夞	⿱外𫜸	シツ シチ	p:𫜸
够	⿰句多	コウ	u
夠	⿰多句	コウ ク	u
夦	⿰甚多	チン	u
头	⿻⺀大	トウ ズ ト あたま	v:頭
夹	⿻夫丷	キョウ はさむ	u
夺	⿱大寸	ダツ うば.う	v:奪
夻	⿱大口	コウ ク	p:口
夼	⿱大川	セン	p:川
奀	⿱不大	ボウ	u
奁	⿱大区	レン くしげ はこ	v:奩
奂	⿳⺈冂大	カン あき.らか	v:奐
奅	⿱大卯	ホウ ヒョウ	u
奊	⿺夨圭	ケツ ゲチ レツ レチ	u
奋	⿱大田	コウ ホン	u
奌	⿱占大	テン ぼち	u
奍	⿱龹⿰丿丨	コン シ	p:丨
奖	⿱⿰丬夕大	ショウ ソウ すす.める	v:奬
奜	⿱非大	ヒ	u
奤	⿱大面	ハン タイ ハク	u
奦	⿱務大	ブ ム	u
奰	⿱𦋹大	ヒ ビ	u
奱	⿱䜌大	レン	u
奷	⿰女千	セン	u
奺	⿰女久	キュウ	u
奾	⿰女山	セン	u
奿	⿺丸女	ガン	u
妀	⿰己女	キ	u
妅	⿰女工	コウ ク	u
妆	⿰丬女	ソウ ショウ かざり よそおう	u
妇	⿰女𫜹	フ おんな つま よめ	u
妈	⿰女马	ボ モ はは	v:媽
妉	⿰女冘	タン	u
妏	⿰女文	ブン モン	u
妐	⿰女公	ショウ シュ	u
妑	⿰女巴	ハ ヘ	u
妔	⿰女亢	コウ ゴウ キョウ	u
妘	⿰女云	ウン	u
妚	⿰女不	フウ ハイ	u
妜	⿰女夬	エツ エチ ケツ ケチ	u
妞	⿰女丑	ジュウ ニュ チュウ	u
妠	⿰女内	ダン ドウ ナン ノウ	u
妡	⿰女斤	キン コン	u
妢	⿰女分	フン ブン	u
妦	⿰女丰	ホウ フ	u
妩	⿰女无	ブ ム こ.びる みめよ.い	v:嫵
妪	⿰女区	ウ オウ あたた.める おうな	v:嫗
妫	⿰女为	キ わるがしこ.い	v:嬀
妱	⿰女召	ショウ	u
妴	⿱夗女	エン オン	u
妵	⿰女主	トウ ツ	u
妶	⿰女玄	ケン ゲン	u
妸	⿰女可	ア たおやか	u
妽	⿰女申	シン	u
妿	⿱加女	ア カ	u
姀	⿰女禾	カ ワ	u
姂	⿰女乏	ホウ ボウ ハン ボン	u
姅	⿰女半	ハン	u
姇	⿱付女	フ ブ フウ	u
姌	⿰女冉	ゼン	u
姎	⿰女央	オウ	u
姏	⿰女甘	バン マン カン コン	u
姕	⿱此女	シ	u
姖	⿰女巨	キョ ゴ	u
姗	⿰女册	サン セン ハン サツ	v:姍
姘	⿰女并	ヒン ホウ ヘイ	u
姛	⿰女同	トウ ズ	u
姠	⿰女向	ショウ キョウ コウ	u
姡	⿰女舌	カツ カチ	u
姢	⿰女䏍	エン ケン	u
姩	⿰女年	デン ネン	u
姬	⿰女𦣞	シン キ イ キョ	u
姭	⿱劦女	ケン	u
姰	⿰女旬	キン シュン ジュン ケン	u
姳	⿰女名	ベイ ミョウ	u
姵	⿰女𫥞	ハイ バイ ベ	u
姹	⿰女宅	タ ト ツ	u
姺	⿰女先	シン セイ サイ ソン	u
姼	⿰女多	シ タ テイ ダイ	u
姽	⿰女危	キ ギ ガ	u
姾	⿰女全	セン	u
娂	⿰女共	コウ	u
娅	⿰女亚	ア あいむこ こしもと	v:婭
娆	⿰女尧	ニョウ ドウ キョウ ジョウ	v:嬈
娇	⿰女乔	キョウ なまめか.しい	v:嬌
娈	⿱𰁜女	レン ラン バン マン	v:孌
娊	⿰女見	ケン ゲン	u
娋	⿰女肖	ソウ ショウ シャク サク	u
娏	⿰女尨	ボウ モウ	u
娐	⿰女孚	フ フウ ブ	u
娔	⿰女克	コク	u
娕	⿰女束	サク ショク ソク ライ	u
娖	⿰女足	サク ショク ソク	u
娙	⿰女巠	ケイ ゴウ コウ ギョウ	u
娛	⿰女吳	ゴ グ たのしむ	u
娝	⿰女否	ヒ ハイ ヘ フ	u
娡	⿰女志	シ	u
娢	⿰女含	カン ゴン	u
娦	⿰女兵	ヒン	u
娫	⿰女延	エン	u
娬	⿰女武	ブ ム	u
娮	⿰女言	ゲン	u
娱	⿰女吴	ゴ グ たのしむ	u
娲	⿰女呙	カイ ケ カ	v:媧
娳	⿰女利	リ	p:利
娴	⿰女闲	カン なら.う みやびやか	v:嫻
娷	⿰女垂	ツイ スイ ズイ	u
娸	⿰女其	キ	u
娹	⿰女弦	ケン ゲン	u
娺	⿰女叕	タツ タチ ツイ セツ	u
娻	⿰女東	トウ ツ	u
娽	⿰女录	ロク リョウ	u
娾	⿰女厓	ガイ ゲ ガク ギャク	u
娿	⿱阿女	ア たおやか	u
婂	⿰女帛	ベン メン	u
婃	⿰女宗	ソウ ス	u
婊	⿰女表	ヒョウ	u
婋	⿰女虎	コウ キョウ	u
婍	⿰女奇	キ	u
婎	⿰女隹	キ ヒ	u
婏	⿰女兔	フ ハン ホン	u
婑	⿰女委	ズイ ニ ワ	u
婒	⿰女炎	タン ダン	u
婓	⿱非女	ヒ	u
婔	⿰女非	ヒ	u
婖	⿰女忝	テン	u
婗	⿰女兒	ゲイ	u
婘	⿰女卷	ケン ゲン	u
婙	⿰女争	セイ	u
婛	⿰女京	ケイ キョウ	u
婜	⿱臤女	カン ケン キン	u
婝	⿰女定	テン デン	u
婟	⿰女固	コ ゴ	u
婠	⿰女官	ワン ワツ ワチ カン	u
婡	⿰女來	ライ	u
婤	⿰女周	シュウ シュ チョウ チュウ	u
婨	⿰女侖	ロン	u
婩	⿰女岸	ゲン ギャク ガク ガン	u
婫	⿰女昆	コン ゴン	u
婮	⿰女居	キョ コ	u
婯	⿱⿰⿱一⿵冂丶⿱一⿵冂丶女	レイ	u
婰	⿰女典	テン	u
婱	⿱弦女	ケン ゲン	u
婲	⿰女花	だて	u
婳	⿰女画	カク ギャク	v:嫿
婴	⿱𲂻女	エイ ふ.れる みどりご あかご	v:嬰
婵	⿰女单	セン	v:嬋
婶	⿰女审	シン	v:嬸
婸	⿰女昜	トウ ドウ ヨウ	u
婹	⿰女要	ヨウ	u
婼	⿰女若	シャク ジ ニ ジャ	u
婽	⿰女叚	カ ケ	u
媀	⿰女禺	グ ゴウ ギョウ	u
媁	⿰女韋	イ	u
媂	⿰女帝	タイ テイ ダイ	u
媃	⿰女柔	ジュウ ニュウ	u
媅	⿰女甚	タン トン	u
媆	⿰女耎	ドン ゼン ネン ナン	u
媇	⿰女亲	シン	u
媈	⿰女軍	キ コン ゴン	u
媉	⿰女屋	オク アク	u
媊	⿰女前	セン ゼン シ	u
媌	⿰女苗	ボウ ミョウ ボク モク	u
媍	⿰女負	フ よめ	u
媎	⿰女者	ソ	u
媏	⿰女耑	タン	u
媑	⿰女重	ジュ チョウ トウ	u
媔	⿰女面	ベン メン	u
媕	⿰女弇	オウ エン アン オン	u
媗	⿰女宣	ケン カン セン	u
媘	⿰女皆	カイ	u
媝	⿱秋女	シュウ シュ	u
媡	⿰女柬	レン	u
媣	⿰女染	ゼン ネン カン コン	u
媤	⿰女思	シ	u
媥	⿰女扁	ヘン	u
媦	⿰女胃	イ	u
媨	⿰女酋	シュク シュウ ジュ ユウ	u
媩	⿰女胡	コ ゴ	u
媪	⿰女昷	オウ おうな	u
媫	⿰女⿳⺊𫜹龰	ボク	p:卜
媭	⿱须女	シュ	v:嬃
媮	⿰女俞	ユ チュウ	p:俞
媯	⿰女為	キ わるがしこ.い	v:嬀
媰	⿰女芻	シュウ ス シュ ジュ	u
媴	⿰女袁	エン オン	u
媶	⿰女茸	ジョウ ニュ	u
媷	⿰女⿸辰寸	ジョク ニク	u
媹	⿰女留	リュウ ル	u
嫀	⿰女秦	シン ジン	u
嫃	⿰女真	シン	u
嫅	⿰女差	シャ サ	u
嫇	⿰女冥	ベイ ボウ ミョウ	u
嫊	⿰女素	ソ	u
嫍	⿰女舀	トウ ヨウ	u
嫎	⿰女旁	ホウ ボウ	u
嫑	⿱不要	ヨウ	p:要
嫒	⿰女爱	アイ	v:嬡
嫓	⿰女⿱⿱⺈⿵冂人比	ヒ	p:比
嫔	⿰女宾	ヒン ひめ	v:嬪
嫕	⿰女悘	エイ	u
嫘	⿰女累	ルイ ライ レ	u
嫙	⿰女旋	セン ゼン	u
嫛	⿱殹女	エイ イ	u
嫝	⿰女康	コウ	u
嫞	⿰女庸	ショウ ジュ チョウ チュ	u
嫟	⿰女匿	ニキ ジョク	u
嫢	⿱規女	キ イ ギ スイ	u
嫤	⿰女堇	ゴン キン コン	u
嫧	⿰女責	サク シャク セキ	u
嫨	⿰女𦰩	カン ゼン ネン	u
嫫	⿰女莫	モ ボ しこめ	u
嫬	⿰女庶	シャ ショ	u
嫭	⿰女虖	コ ゴ	u
嫯	⿱敖女	ゴウ	u
嫱	⿰女啬	ショウ ゾウ ショク シキ	v:嬙
嫲	⿰女麻	マ マア	p:麻
嫳	⿱敝女	ヘツ ヘチ	u
嫴	⿰女辜	コ ク	u
嫷	⿰女隋	タ ダ うるわしい	u
嫸	⿰女善	セン	u
嫹	⿰女黄	ボウ ミョウ	u
嫼	⿰女黑	ボク モク コク アツ	u
嫾	⿰女粦	レン	u
嫿	⿰女畫	カク ギャク	u
嬂	⿰女戠	ショク シキ	u
嬃	⿱須女	シュ	u
嬄	⿰女壹	イツ イチ	u
嬅	⿰女華	カ ゲ うつくしい	u
嬆	⿰女翕	キュウ コウ	u
嬇	⿰女貴	カイ エ ケ	u
嬊	⿳廿⿴北口女	エン	u
嬍	⿰女𢽠	ビ	u
嬎	⿰女⿺免生	ハン ヘン	u
嬏	⿰女番	ハン	u
嬐	⿰女僉	セン ゲン ギン ゴン	u
嬑	⿰女意	イ	u
嬒	⿰女會	ワイ エ ワツ ワチ	u
嬓	⿰女敫	キョウ	u
嬔	⿰女⿺兔生	フ	u
嬕	⿰女睪	セキ シャク	u
嬘	⿰女遂	スイ ズイ	u
嬚	⿰女廉	レン	u
嬜	⿱歆女	キン コン アン オン	u
嬞	⿰女董	トウ	u
嬟	⿰女義	ギ イ	u
嬠	⿰女喿	サン	u
嬣	⿰女寧	トウ ニョウ デイ	u
嬤	⿰女麼	バ マ	u
嬦	⿰女壽	チュウ ジュ シュウ	u
嬧	⿰女盡	シン ジン	u
嬨	⿰女慈	シ ジ	u
嬩	⿰女與	ヨ	u
嬫	⿰女榮	エイ ヨウ	u
嬮	⿸厭女	エン ヨウ	u
嬯	⿰女臺	タイ ダイ	u
嬱	⿱漸女	セン	u
嬳	⿰女蒦	ワク コ ゴ	u
嬵	⿰女綿	ベン メン	u
嬷	⿰女麽	モ ボ しこめ	v:嫫
嬹	⿰女興	キョウ コウ	u
嬺	⿰女慝	ジョク	u
嬻	⿰女賣	トク ドク	u
嬼	⿰女劉	リュウ ル	u
嬽	⿰女𡚇	エン ワン オン	u
嬿	⿰女燕	エン	u
孂	⿰女簋	キョウ キ キュウ ク	u
孄	⿰女闌	ラン	u
孆	⿰女嬰	エイ	u
孇	⿰女雙	ソウ	u
孈	⿰女巂	スイ イ エ カイ	u
孉	⿰女雚	ケン	u
孊	⿰女靡	ビ ミ	u
孍	⿰女嚴	ゲン ゴン	u
孎	⿰女屬	ソク ショク ゾク タク	u
孏	⿰女蘭	ラン	u
孓	⿻了㇏	リョウ	p:了
孙	⿰子小	ソン まご	v:孫
孠	⿱司子	シ	u
孡	⿰子台	タイ	u
孢	⿰子包	ホウ ヒョウ	u
孧	⿱幼子	ヨウ	p:幼
孪	⿱𰁜子	サン セン レン ふたご	v:孿
孬	⿱不好	カイ ケ	u
孭	⿰子貝	バイ	p:貝
孲	⿰子亞	ア	u
孴	⿱孨日	ギ ユウ	u
孶	⿱茲子	ジ シ うむ しげる	u
孷	⿸𠩺子	リ	u
孹	⿱辟子	ハク	u
孻	⿰子盡	ダイ ナイ	u
宂	⿱宀几	ジョウ ニュ	u
宒	⿱宀毛	チュン	u
实	⿱宀头	ジツ みのる	u
宠	⿱宀龙	チョウ めぐ.み めぐ.む	v:寵
审	⿱宀申	シン つまび.らか つぶさ.に	v:審
宧	⿱宀𦣞	イ	u
宪	⿱宀先	キョウ ボウ コン	u
宫	⿱宀吕	キュウ グウ ク みや	u
宻	⿳宀⿻又丷山	ミツ	u
宽	⿱宀苋	カン ひろい ゆるやか くつろぐ	v:寬
宾	⿱宀兵	ヒン まろうど したがう	v:賓
寈	⿱宀青	セイ	u
寊	⿱宀貞	テイ チョウ	u
寋	⿱𡨄㔾	ケン	u
寑	⿱宀侵	シン ねる	u
寕	⿳宀丆𦉬	ネイ デイ ニョウ やすい	u
寜	⿱寍亅	ネイ	u
寣	⿱宀𪺞	コツ コチ	u
寪	⿱宀爲	イギ	u
寭	⿱宀惠	ケイ ケ	u
寲	⿱宀疑	ギ	u
寷	⿱宀豐	フウ フ ホウ	u
对	⿰又寸	タイ むかう	u
寻	⿱𫜹寸	ジン たず.ねる ひろ	v:尋
导	⿱巳寸	ドウ みちび.く	v:導
尀	⿰叵寸	ハ	u
尐	⿱𡭔㇝	セツ セチ シツ シチ	u
尔	⿱⿰㇒乛小	ジ	u
尕	⿱乃小	ナイ ダイ	p:乃
尘	⿱𡭔土	ジン	u
尙	⿱𡭔冋	ショウ ジョウ たっとぶ	u
尛	⿱𡭔⿰小小	マ	u
尜	⿱尖小	セン	p:尖
尝	⿱龸云	ショウ ジョウ かつ.て こころ.みる	v:嘗
尡	⿰光昆	コン	p:昆
尥	⿺尢勺	リュウ ホウ ボウ チョウ	u
尧	⿱𭠍兀	ギョウ たか.い	v:堯
尪	⿺尢王	オウ	u
尯	⿺尢危	キ	u
尳	⿺尢骨	コツ クチ カツ ゲチ	u
尴	⿺尢监	カン ケン	v:尷
尷	⿺尢監	カン ケン	u
层	⿸尸云	ソウ	v:層
屃	⿸尸贝	キ	v:屓
屄	⿸尸穴	ヒ	u
屇	⿸尸田	テン デン	u
屉	⿸尸世	テイ タイ	u
屌	⿸尸吊	チョウ	u
屒	⿸尸辰	チン シン ジン	u
屔	⿰丘尼	デイ ナイ ジ ニ	u
屖	⿸尸辛	セイ サイ	u
屗	⿺尾寸	スン	p:寸
屘	⿺尾子	シ ス	p:子
屝	⿸尸非	ヒ ビ	u
屦	⿸尸⿰彳娄	ク くつ	v:屨
屪	⿸尸寮	リョウ	u
屫	⿸尸⿰爿喬	キャク	u
屲	⿱㇒山		
屳	⿱入山	セン	u
屷	⿰山乃	ナイ ダイ	p:乃
屸	⿰山工	コウ グ	u
屾	⿰山山	シン サン	u
屿	⿰山与	ショ しま	v:嶼
岀	⿱山山	シュツ スイ でる だす	u
岁	⿱山夕	サイ セイ とし とせ	v:亗
岂	⿱山己	カイ ガイ キ あに	v:豈
岃	⿱山刃	ジン ニン	p:刃
岄	⿰山月	ゲツ ガチ	u
岅	⿰山反	ハン	u
岆	⿰山夭	ヨウ	u
岉	⿰山勿	ブツ モチ	u
岋	⿰山及	ゴウ	u
岍	⿰山开	ケン	u
岎	⿰山分	フン	u
岓	⿰山斤	キ ゲ	u
岕	⿱山介	カイ	u
岖	⿰山区	ク けわ.しい	v:嶇
岗	⿱山冈	コウ おか	v:崗
岘	⿰山见	ケン けわ.しい	v:峴
岙	⿱夭山	オウ オク おく.まる くま	v:嶴
岚	⿱山风	ラン あらし	v:嵐
岛	⿹？山	トウ しま	v:島
