核	⿰木亥	8	475	カク			カイ コツ ギャク ゴク	u	10	
殻	⿰壳殳	8	1892	カク コク バイ	から がら				11	⿰⿱士冗殳
獲	⿰犭蒦	8	964	カク	え.る		ワク コ カ ゲ	u	16	
確	⿰石隺	5	252	カク コウ	たし.か たし.かめる		かたい	u	15	
穫	⿰禾蒦	8	1642	カク			ワク コ ゴ かる	u	18	
覚	⿳𭕄冖見	4	710	カク	おぼ.える さ.ます さ.める さと.る		コウ さとり	u	12	⿱𰃮見
角	⿱⺈⿵⺆土	2	805	カク	かど つの	い す すみ ずみ ふさ	ロク コク きそう くらべる	u	7	
赫	⿰赤赤	0	0	カク	あかい あか かがや.く		キャク シャク ケ カ	u	14	
較	⿰車交	8	1172	カク コウ	くら.べる				13	
郭	⿰享阝	8	1670	カク	くるわ	ひろ			11	
閣	⿵門各	6	444	カク			たかどの たな	u	14	
隔	⿰阝鬲	8	1382	カク	へだ.てる へだ.たる		ケキ キャク へだたり	u	13	
革	⿱廿⿻中一	6	249	カク	かわ		キョク あらたまる あらためる	u	9	
